Province_State,date,total_cases
Alabama,2020-01-22,0
Alabama,2020-01-23,0
Alabama,2020-01-24,0
Alabama,2020-01-25,0
Alabama,2020-01-26,0
Alabama,2020-01-27,0
Alabama,2020-01-28,0
Alabama,2020-01-29,0
Alabama,2020-01-30,0
Alabama,2020-01-31,0
Alabama,2020-02-01,0
Alabama,2020-02-02,0
Alabama,2020-02-03,0
Alabama,2020-02-04,0
Alabama,2020-02-05,0
Alabama,2020-02-06,0
Alabama,2020-02-07,0
Alabama,2020-02-08,0
Alabama,2020-02-09,0
Alabama,2020-02-10,0
Alabama,2020-02-11,0
Alabama,2020-02-12,0
Alabama,2020-02-13,0
Alabama,2020-02-14,0
Alabama,2020-02-15,0
Alabama,2020-02-16,0
Alabama,2020-02-17,0
Alabama,2020-02-18,0
Alabama,2020-02-19,0
Alabama,2020-02-20,0
Alabama,2020-02-21,0
Alabama,2020-02-22,0
Alabama,2020-02-23,0
Alabama,2020-02-24,0
Alabama,2020-02-25,0
Alabama,2020-02-26,0
Alabama,2020-02-27,0
Alabama,2020-02-28,0
Alabama,2020-02-29,0
Alabama,2020-03-01,0
Alabama,2020-03-02,0
Alabama,2020-03-03,0
Alabama,2020-03-04,0
Alabama,2020-03-05,0
Alabama,2020-03-06,0
Alabama,2020-03-07,0
Alabama,2020-03-08,0
Alabama,2020-03-09,0
Alabama,2020-03-10,0
Alabama,2020-03-11,3
Alabama,2020-03-12,4
Alabama,2020-03-13,8
Alabama,2020-03-14,15
Alabama,2020-03-15,28
Alabama,2020-03-16,36
Alabama,2020-03-17,51
Alabama,2020-03-18,61
Alabama,2020-03-19,88
Alabama,2020-03-20,115
Alabama,2020-03-21,149
Alabama,2020-03-22,180
Alabama,2020-03-23,224
Alabama,2020-03-24,298
Alabama,2020-03-25,472
Alabama,2020-03-26,574
Alabama,2020-03-27,684
Alabama,2020-03-28,801
Alabama,2020-03-29,880
Alabama,2020-03-30,1001
Alabama,2020-03-31,1063
Alabama,2020-04-01,1175
Alabama,2020-04-02,1371
Alabama,2020-04-03,1606
Alabama,2020-04-04,1727
Alabama,2020-04-05,1905
Alabama,2020-04-06,2079
Alabama,2020-04-07,2308
Alabama,2020-04-08,2614
Alabama,2020-04-09,2954
Alabama,2020-04-10,3112
Alabama,2020-04-11,3346
Alabama,2020-04-12,3667
Alabama,2020-04-13,3870
Alabama,2020-04-14,4041
Alabama,2020-04-15,4307
Alabama,2020-04-16,4465
Alabama,2020-04-17,4557
Alabama,2020-04-18,4788
Alabama,2020-04-19,4978
Alabama,2020-04-20,5163
Alabama,2020-04-21,5404
Alabama,2020-04-22,5692
Alabama,2020-04-23,5899
Alabama,2020-04-24,6092
Alabama,2020-04-25,6274
Alabama,2020-04-26,6475
Alabama,2020-04-27,6621
Alabama,2020-04-28,6820
Alabama,2020-04-29,6979
Alabama,2020-04-30,7187
Alabama,2020-05-01,7440
Alabama,2020-05-02,7700
Alabama,2020-05-03,7977
Alabama,2020-05-04,8203
Alabama,2020-05-05,8520
Alabama,2020-05-06,8769
Alabama,2020-05-07,9115
Alabama,2020-05-08,9437
Alabama,2020-05-09,9720
Alabama,2020-05-10,9982
Alabama,2020-05-11,10262
Alabama,2020-05-12,10566
Alabama,2020-05-13,10822
Alabama,2020-05-14,11161
Alabama,2020-05-15,11494
Alabama,2020-05-16,11828
Alabama,2020-05-17,12137
Alabama,2020-05-18,12438
Alabama,2020-05-19,12825
Alabama,2020-05-20,13186
Alabama,2020-05-21,13590
Alabama,2020-05-22,13954
Alabama,2020-05-23,14328
Alabama,2020-05-24,14676
Alabama,2020-05-25,15309
Alabama,2020-05-26,15899
Alabama,2020-05-27,16263
Alabama,2020-05-28,16749
Alabama,2020-05-29,17262
Alabama,2020-05-30,17689
Alabama,2020-05-31,18200
Alabama,2020-06-01,18525
Alabama,2020-06-02,18734
Alabama,2020-06-03,18954
Alabama,2020-06-04,19262
Alabama,2020-06-05,19910
Alabama,2020-06-06,20355
Alabama,2020-06-07,20777
Alabama,2020-06-08,21268
Alabama,2020-06-09,21834
Alabama,2020-06-10,22659
Alabama,2020-06-11,23370
Alabama,2020-06-12,24405
Alabama,2020-06-13,25364
Alabama,2020-06-14,26182
Alabama,2020-06-15,26485
Alabama,2020-06-16,27034
Alabama,2020-06-17,27941
Alabama,2020-06-18,28676
Alabama,2020-06-19,29225
Alabama,2020-06-20,29683
Alabama,2020-06-21,30122
Alabama,2020-06-22,30771
Alabama,2020-06-23,31889
Alabama,2020-06-24,32878
Alabama,2020-06-25,33880
Alabama,2020-06-26,34903
Alabama,2020-06-27,35083
Alabama,2020-06-28,36503
Alabama,2020-06-29,37589
Alabama,2020-06-30,38477
Alabama,2020-07-01,39647
Alabama,2020-07-02,41340
Alabama,2020-07-03,42255
Alabama,2020-07-04,43216
Alabama,2020-07-05,44022
Alabama,2020-07-06,44932
Alabama,2020-07-07,46348
Alabama,2020-07-08,48149
Alabama,2020-07-09,49695
Alabama,2020-07-10,51329
Alabama,2020-07-11,52802
Alabama,2020-07-12,54781
Alabama,2020-07-13,56168
Alabama,2020-07-14,58284
Alabama,2020-07-15,60194
Alabama,2020-07-16,62128
Alabama,2020-07-17,64152
Alabama,2020-07-18,66181
Alabama,2020-07-19,67733
Alabama,2020-07-20,69236
Alabama,2020-07-21,70600
Alabama,2020-07-22,72594
Alabama,2020-07-23,74685
Alabama,2020-07-24,76795
Alabama,2020-07-25,78188
Alabama,2020-07-26,79948
Alabama,2020-07-27,81256
Alabama,2020-07-28,82698
Alabama,2020-07-29,84652
Alabama,2020-07-30,86664
Alabama,2020-07-31,88266
Alabama,2020-08-01,90299
Alabama,2020-08-02,91458
Alabama,2020-08-03,92502
Alabama,2020-08-04,93457
Alabama,2020-08-05,95323
Alabama,2020-08-06,97044
Alabama,2020-08-07,98895
Alabama,2020-08-08,99854
Alabama,2020-08-09,101466
Alabama,2020-08-10,102391
Alabama,2020-08-11,103485
Alabama,2020-08-12,104219
Alabama,2020-08-13,104976
Alabama,2020-08-14,106096
Alabama,2020-08-15,106926
Alabama,2020-08-16,107667
Alabama,2020-08-17,109092
Alabama,2020-08-18,110415
Alabama,2020-08-19,111696
Alabama,2020-08-20,112737
Alabama,2020-08-21,114212
Alabama,2020-08-22,114809
Alabama,2020-08-23,115485
Alabama,2020-08-24,116045
Alabama,2020-08-25,118190
Alabama,2020-08-26,119904
Alabama,2020-08-27,121041
Alabama,2020-08-28,122879
Alabama,2020-08-29,124155
Alabama,2020-08-30,124944
Alabama,2020-08-31,126500
Alabama,2020-09-01,127234
Alabama,2020-09-02,128240
Alabama,2020-09-03,129225
Alabama,2020-09-04,130373
Alabama,2020-09-05,130914
Alabama,2020-09-06,131690
Alabama,2020-09-07,132221
Alabama,2020-09-08,133005
Alabama,2020-09-09,134061
Alabama,2020-09-10,135138
Alabama,2020-09-11,136107
Alabama,2020-09-12,137166
Alabama,2020-09-13,137861
Alabama,2020-09-14,138619
Alabama,2020-09-15,139660
Alabama,2020-09-16,140423
Alabama,2020-09-17,141454
Alabama,2020-09-18,142768
Alabama,2020-09-19,143578
Alabama,2020-09-20,144325
Alabama,2020-09-21,145202
Alabama,2020-09-22,145859
Alabama,2020-09-23,146897
Alabama,2020-09-24,149263
Alabama,2020-09-25,150239
Alabama,2020-09-26,150965
Alabama,2020-09-27,151604
Alabama,2020-09-28,152350
Alabama,2020-09-29,153584
Alabama,2020-09-30,154772
Alabama,2020-10-01,155727
Alabama,2020-10-02,157402
Alabama,2020-10-03,158181
Alabama,2020-10-04,158717
Alabama,2020-10-05,159476
Alabama,2020-10-06,160485
Alabama,2020-10-07,161085
Alabama,2020-10-08,162683
Alabama,2020-10-09,163897
Alabama,2020-10-10,164698
Alabama,2020-10-11,165414
Alabama,2020-10-12,166514
Alabama,2020-10-13,167396
Alabama,2020-10-14,168620
Alabama,2020-10-15,169845
Alabama,2020-10-16,171157
Alabama,2020-10-17,172137
Alabama,2020-10-18,173002
Alabama,2020-10-19,174078
Alabama,2020-10-20,175210
Alabama,2020-10-21,176605
Alabama,2020-10-22,180437
Alabama,2020-10-23,182567
Alabama,2020-10-24,183831
Alabama,2020-10-25,184723
Alabama,2020-10-26,185938
Alabama,2020-10-27,187267
Alabama,2020-10-28,188775
Alabama,2020-10-29,190113
Alabama,2020-10-30,191932
Alabama,2020-10-31,193613
Alabama,2020-11-01,194458
Alabama,2020-11-02,195692
Alabama,2020-11-03,197504
Alabama,2020-11-04,198927
Alabama,2020-11-05,200528
Alabama,2020-11-06,202131
Alabama,2020-11-07,203518
Alabama,2020-11-08,204665
Alabama,2020-11-09,206523
Alabama,2020-11-10,206562
Alabama,2020-11-11,208637
Alabama,2020-11-12,210637
Alabama,2020-11-13,213617
Alabama,2020-11-14,215843
Alabama,2020-11-15,217822
Alabama,2020-11-16,219232
Alabama,2020-11-17,220848
Alabama,2020-11-18,223486
Alabama,2020-11-19,225910
Alabama,2020-11-20,228373
Alabama,2020-11-21,230708
Alabama,2020-11-22,232506
Alabama,2020-11-23,234080
Alabama,2020-11-24,236865
Alabama,2020-11-25,239318
Alabama,2020-11-26,241957
Alabama,2020-11-27,242874
Alabama,2020-11-28,244993
Alabama,2020-11-29,247229
Alabama,2020-11-30,249524
