Province_State,date,total_deaths
Alabama,2020-01-22,0
Alabama,2020-01-23,0
Alabama,2020-01-24,0
Alabama,2020-01-25,0
Alabama,2020-01-26,0
Alabama,2020-01-27,0
Alabama,2020-01-28,0
Alabama,2020-01-29,0
Alabama,2020-01-30,0
Alabama,2020-01-31,0
Alabama,2020-02-01,0
Alabama,2020-02-02,0
Alabama,2020-02-03,0
Alabama,2020-02-04,0
Alabama,2020-02-05,0
Alabama,2020-02-06,0
Alabama,2020-02-07,0
Alabama,2020-02-08,0
Alabama,2020-02-09,0
Alabama,2020-02-10,0
Alabama,2020-02-11,0
Alabama,2020-02-12,0
Alabama,2020-02-13,0
Alabama,2020-02-14,0
Alabama,2020-02-15,0
Alabama,2020-02-16,0
Alabama,2020-02-17,0
Alabama,2020-02-18,0
Alabama,2020-02-19,0
Alabama,2020-02-20,0
Alabama,2020-02-21,0
Alabama,2020-02-22,0
Alabama,2020-02-23,0
Alabama,2020-02-24,0
Alabama,2020-02-25,0
Alabama,2020-02-26,0
Alabama,2020-02-27,0
Alabama,2020-02-28,0
Alabama,2020-02-29,0
Alabama,2020-03-01,0
Alabama,2020-03-02,0
Alabama,2020-03-03,0
Alabama,2020-03-04,0
Alabama,2020-03-05,0
Alabama,2020-03-06,0
Alabama,2020-03-07,0
Alabama,2020-03-08,0
Alabama,2020-03-09,0
Alabama,2020-03-10,0
Alabama,2020-03-11,0
Alabama,2020-03-12,0
Alabama,2020-03-13,0
Alabama,2020-03-14,0
Alabama,2020-03-15,0
Alabama,2020-03-16,0
Alabama,2020-03-17,0
Alabama,2020-03-18,0
Alabama,2020-03-19,0
Alabama,2020-03-20,0
Alabama,2020-03-21,0
Alabama,2020-03-22,0
Alabama,2020-03-23,0
Alabama,2020-03-24,0
Alabama,2020-03-25,1
Alabama,2020-03-26,1
Alabama,2020-03-27,4
Alabama,2020-03-28,4
Alabama,2020-03-29,10
Alabama,2020-03-30,10
Alabama,2020-03-31,23
Alabama,2020-04-01,27
Alabama,2020-04-02,32
Alabama,2020-04-03,38
Alabama,2020-04-04,44
Alabama,2020-04-05,45
Alabama,2020-04-06,49
Alabama,2020-04-07,64
Alabama,2020-04-08,66
Alabama,2020-04-09,70
Alabama,2020-04-10,80
Alabama,2020-04-11,92
Alabama,2020-04-12,93
Alabama,2020-04-13,99
Alabama,2020-04-14,114
Alabama,2020-04-15,118
Alabama,2020-04-16,133
Alabama,2020-04-17,148
Alabama,2020-04-18,153
Alabama,2020-04-19,157
Alabama,2020-04-20,163
Alabama,2020-04-21,183
Alabama,2020-04-22,196
Alabama,2020-04-23,202
Alabama,2020-04-24,209
Alabama,2020-04-25,209
Alabama,2020-04-26,219
Alabama,2020-04-27,228
Alabama,2020-04-28,242
Alabama,2020-04-29,256
Alabama,2020-04-30,272
Alabama,2020-05-01,289
Alabama,2020-05-02,288
Alabama,2020-05-03,290
Alabama,2020-05-04,298
Alabama,2020-05-05,315
Alabama,2020-05-06,343
Alabama,2020-05-07,369
Alabama,2020-05-08,383
Alabama,2020-05-09,390
Alabama,2020-05-10,393
Alabama,2020-05-11,403
Alabama,2020-05-12,435
Alabama,2020-05-13,450
Alabama,2020-05-14,473
Alabama,2020-05-15,483
Alabama,2020-05-16,485
Alabama,2020-05-17,488
Alabama,2020-05-18,489
Alabama,2020-05-19,504
Alabama,2020-05-20,522
Alabama,2020-05-21,529
Alabama,2020-05-22,541
Alabama,2020-05-23,549
Alabama,2020-05-24,551
Alabama,2020-05-25,566
Alabama,2020-05-26,580
Alabama,2020-05-27,583
Alabama,2020-05-28,591
Alabama,2020-05-29,610
Alabama,2020-05-30,618
Alabama,2020-05-31,630
Alabama,2020-06-01,646
Alabama,2020-06-02,653
Alabama,2020-06-03,653
Alabama,2020-06-04,653
Alabama,2020-06-05,676
Alabama,2020-06-06,689
Alabama,2020-06-07,692
Alabama,2020-06-08,718
Alabama,2020-06-09,729
Alabama,2020-06-10,744
Alabama,2020-06-11,755
Alabama,2020-06-12,769
Alabama,2020-06-13,773
Alabama,2020-06-14,773
Alabama,2020-06-15,774
Alabama,2020-06-16,785
Alabama,2020-06-17,790
Alabama,2020-06-18,810
Alabama,2020-06-19,822
Alabama,2020-06-20,838
Alabama,2020-06-21,839
Alabama,2020-06-22,841
Alabama,2020-06-23,864
Alabama,2020-06-24,891
Alabama,2020-06-25,896
Alabama,2020-06-26,907
Alabama,2020-06-27,919
Alabama,2020-06-28,919
Alabama,2020-06-29,929
Alabama,2020-06-30,950
Alabama,2020-07-01,972
Alabama,2020-07-02,985
Alabama,2020-07-03,1006
Alabama,2020-07-04,1007
Alabama,2020-07-05,1007
Alabama,2020-07-06,1007
Alabama,2020-07-07,1033
Alabama,2020-07-08,1058
Alabama,2020-07-09,1068
Alabama,2020-07-10,1104
Alabama,2020-07-11,1114
Alabama,2020-07-12,1121
Alabama,2020-07-13,1124
Alabama,2020-07-14,1164
Alabama,2020-07-15,1211
Alabama,2020-07-16,1230
Alabama,2020-07-17,1265
Alabama,2020-07-18,1286
Alabama,2020-07-19,1287
Alabama,2020-07-20,1291
Alabama,2020-07-21,1303
Alabama,2020-07-22,1364
Alabama,2020-07-23,1397
Alabama,2020-07-24,1438
Alabama,2020-07-25,1456
Alabama,2020-07-26,1473
Alabama,2020-07-27,1491
Alabama,2020-07-28,1491
Alabama,2020-07-29,1538
Alabama,2020-07-30,1565
Alabama,2020-07-31,1580
Alabama,2020-08-01,1603
Alabama,2020-08-02,1627
Alabama,2020-08-03,1633
Alabama,2020-08-04,1666
Alabama,2020-08-05,1695
Alabama,2020-08-06,1714
Alabama,2020-08-07,1735
Alabama,2020-08-08,1755
Alabama,2020-08-09,1768
Alabama,2020-08-10,1797
Alabama,2020-08-11,1847
Alabama,2020-08-12,1882
Alabama,2020-08-13,1890
Alabama,2020-08-14,1893
Alabama,2020-08-15,1896
Alabama,2020-08-16,1898
Alabama,2020-08-17,1925
Alabama,2020-08-18,1936
Alabama,2020-08-19,1944
Alabama,2020-08-20,1974
Alabama,2020-08-21,1996
Alabama,2020-08-22,2011
Alabama,2020-08-23,2013
Alabama,2020-08-24,2024
Alabama,2020-08-25,2037
Alabama,2020-08-26,2045
Alabama,2020-08-27,2076
Alabama,2020-08-28,2107
Alabama,2020-08-29,2152
Alabama,2020-08-30,2162
Alabama,2020-08-31,2182
Alabama,2020-09-01,2200
Alabama,2020-09-02,2217
Alabama,2020-09-03,2233
Alabama,2020-09-04,2266
Alabama,2020-09-05,2275
Alabama,2020-09-06,2276
Alabama,2020-09-07,2276
Alabama,2020-09-08,2277
Alabama,2020-09-09,2285
Alabama,2020-09-10,2301
Alabama,2020-09-11,2333
Alabama,2020-09-12,2350
Alabama,2020-09-13,2351
Alabama,2020-09-14,2355
Alabama,2020-09-15,2387
Alabama,2020-09-16,2392
Alabama,2020-09-17,2401
Alabama,2020-09-18,2428
Alabama,2020-09-19,2437
Alabama,2020-09-20,2437
Alabama,2020-09-21,2439
Alabama,2020-09-22,2457
Alabama,2020-09-23,2488
Alabama,2020-09-24,2506
Alabama,2020-09-25,2491
Alabama,2020-09-26,2501
Alabama,2020-09-27,2501
Alabama,2020-09-28,2501
Alabama,2020-09-29,2517
Alabama,2020-09-30,2540
Alabama,2020-10-01,2548
Alabama,2020-10-02,2550
Alabama,2020-10-03,2558
Alabama,2020-10-04,2558
Alabama,2020-10-05,2559
Alabama,2020-10-06,2580
Alabama,2020-10-07,2601
Alabama,2020-10-08,2637
Alabama,2020-10-09,2653
Alabama,2020-10-10,2664
Alabama,2020-10-11,2664
Alabama,2020-10-12,2665
Alabama,2020-10-13,2665
Alabama,2020-10-14,2706
Alabama,2020-10-15,2756
Alabama,2020-10-16,2786
Alabama,2020-10-17,2788
Alabama,2020-10-18,2788
Alabama,2020-10-19,2789
Alabama,2020-10-20,2805
Alabama,2020-10-21,2828
Alabama,2020-10-22,2843
Alabama,2020-10-23,2859
Alabama,2020-10-24,2866
Alabama,2020-10-25,2866
Alabama,2020-10-26,2866
Alabama,2020-10-27,2892
Alabama,2020-10-28,2911
Alabama,2020-10-29,2914
Alabama,2020-10-30,2932
Alabama,2020-10-31,2967
Alabama,2020-11-01,2973
Alabama,2020-11-02,2973
Alabama,2020-11-03,2987
Alabama,2020-11-04,3006
Alabama,2020-11-05,3026
Alabama,2020-11-06,3049
Alabama,2020-11-07,3082
Alabama,2020-11-08,3084
Alabama,2020-11-09,3084
Alabama,2020-11-10,3120
Alabama,2020-11-11,3201
Alabama,2020-11-12,3213
Alabama,2020-11-13,3231
Alabama,2020-11-14,3246
Alabama,2020-11-15,3248
Alabama,2020-11-16,3249
Alabama,2020-11-17,3301
Alabama,2020-11-18,3347
Alabama,2020-11-19,3419
Alabama,2020-11-20,3451
Alabama,2020-11-21,3457
Alabama,2020-11-22,3457
Alabama,2020-11-23,3459
Alabama,2020-11-24,3472
Alabama,2020-11-25,3532
Alabama,2020-11-26,3572
Alabama,2020-11-27,3572
Alabama,2020-11-28,3572
Alabama,2020-11-29,3577
Alabama,2020-11-30,3578
Alabama,2020-12-01,3638
Alabama,2020-12-02,3711
Alabama,2020-12-03,3776
Alabama,2020-12-04,3831
Alabama,2020-12-05,3877
Alabama,2020-12-06,3889
