Province_State,date,people_fully_vaccinated
Alabama,2021-01-12,7270
Alabama,2021-01-13,9245
Alabama,2021-01-14,
Alabama,2021-01-15,13488
Alabama,2021-01-16,
Alabama,2021-01-17,
Alabama,2021-01-18,
Alabama,2021-01-19,16346
Alabama,2021-01-20,17956
Alabama,2021-01-21,21345
Alabama,2021-01-22,24840
Alabama,2021-01-23,27422
Alabama,2021-01-24,29736
Alabama,2021-01-25,29978
Alabama,2021-01-26,30933
Alabama,2021-01-27,33595
Alabama,2021-01-28,37431
Alabama,2021-01-29,44073
Alabama,2021-01-30,53742
Alabama,2021-01-31,55331
Alabama,2021-02-01,56308
Alabama,2021-02-02,58825
Alabama,2021-02-03,62990
Alabama,2021-02-04,69155
Alabama,2021-02-05,76603
Alabama,2021-02-06,84278
Alabama,2021-02-07,86141
Alabama,2021-02-08,88453
Alabama,2021-02-09,95033
Alabama,2021-02-10,102520
Alabama,2021-02-11,111036
Alabama,2021-02-12,122019
Alabama,2021-02-13,133029
Alabama,2021-02-14,137032
Alabama,2021-02-15,
Alabama,2021-02-16,149288
Alabama,2021-02-17,154341
Alabama,2021-02-18,165104
Alabama,2021-02-19,192304
Alabama,2021-02-20,214512
Alabama,2021-02-21,219639
Alabama,2021-02-22,228101
Alabama,2021-02-23,239425
Alabama,2021-02-24,253615
Alabama,2021-02-25,268465
Alabama,2021-02-26,286095
Alabama,2021-02-27,307868
Alabama,2021-02-28,313290
Alabama,2021-03-01,316073
Alabama,2021-03-02,330046
Alabama,2021-03-03,346841
Alabama,2021-03-04,365456
Alabama,2021-03-05,383078
Alabama,2021-03-06,402061
Alabama,2021-03-07,406723
Alabama,2021-03-08,409937
Alabama,2021-03-09,420083
Alabama,2021-03-10,435018
Alabama,2021-03-11,452746
Alabama,2021-03-12,472325
Alabama,2021-03-13,492755
Alabama,2021-03-14,497653
Alabama,2021-03-15,501344
Alabama,2021-03-16,511869
Alabama,2021-03-17,523649
Alabama,2021-03-18,533375
Alabama,2021-03-19,547257
Alabama,2021-03-20,561254
Alabama,2021-03-21,566632
Alabama,2021-03-22,569127
Alabama,2021-03-23,579598
Alabama,2021-03-24,589979
Alabama,2021-03-25,600666
Alabama,2021-03-26,611694
Alabama,2021-03-27,623385
Alabama,2021-03-28,628500
Alabama,2021-03-29,631388
Alabama,2021-03-30,643450
Alabama,2021-03-31,656899
Alabama,2021-04-01,673773
Alabama,2021-04-02,691082
Alabama,2021-04-03,705197
Alabama,2021-04-04,709849
Alabama,2021-04-05,711596
Alabama,2021-04-06,725270
Alabama,2021-04-07,744961
Alabama,2021-04-08,764450
Alabama,2021-04-09,788325
Alabama,2021-04-10,811323
Alabama,2021-04-11,819550
Alabama,2021-04-12,824052
Alabama,2021-04-13,844353
Alabama,2021-04-14,868550
Alabama,2021-04-15,893002
Alabama,2021-04-16,915654
Alabama,2021-04-17,935377
Alabama,2021-04-18,943129
Alabama,2021-04-19,946333
Alabama,2021-04-20,966251
Alabama,2021-04-21,987379
Alabama,2021-04-22,1010415
Alabama,2021-04-23,1033996
Alabama,2021-04-24,1054863
Alabama,2021-04-25,1062524
Alabama,2021-04-26,1066659
Alabama,2021-04-27,1079815
Alabama,2021-04-28,1098820
Alabama,2021-04-29,1121348
Alabama,2021-04-30,1143488
Alabama,2021-05-01,1161725
